emissor,asset_class,grupo,tier,status,cobertura_oficial_cvm,tipo_match,confianca_match,companhia_casada,cnpj_casado,codigo_cvm_casado,identificador_usado,n_candidatos,candidatos,protocolos_no_ano,ultima_entrega,categorias,motivo_decisao
Imbuia Florestal,nao_listada,nao_listada,3,nao_filiante,nao,sem_match,—,,,,,0,,0,,,"Nenhuma companhia do IPE casou por identificador, razão social, nome ou alias."
Minum Genco,nao_listada,nao_listada,3,nao_filiante,nao,sem_match,—,,,,,0,,0,,,"Nenhuma companhia do IPE casou por identificador, razão social, nome ou alias."
Nova Esperança Florestal,nao_listada,nao_listada,3,nao_filiante,nao,sem_match,—,,,,,0,,0,,,"Nenhuma companhia do IPE casou por identificador, razão social, nome ou alias."
Samarco Mineração,nao_listada,nao_listada,3,nao_filiante,nao,sem_match,—,,,,,0,,0,,,"Nenhuma companhia do IPE casou por identificador, razão social, nome ou alias."
Tarumã Florestal,nao_listada,nao_listada,3,nao_filiante,nao,sem_match,—,,,,,0,,0,,,"Nenhuma companhia do IPE casou por identificador, razão social, nome ou alias."
Uro Grandis Florestal,nao_listada,nao_listada,3,nao_filiante,nao,sem_match,—,,,,,0,,0,,,"Nenhuma companhia do IPE casou por identificador, razão social, nome ou alias."
Ápice Florestal,nao_listada,nao_listada,3,nao_filiante,nao,sem_match,—,,,,,0,,0,,,"Nenhuma companhia do IPE casou por identificador, razão social, nome ou alias."
Vinci Credit Securities FII,fii,fii,2,nao_aplicavel_dataset_ipe,n/a,sem_match,n/a,,,,,0,,0,,,"FII não é coberto pelo dataset IPE de companhias abertas; a cobertura oficial de fundos depende do dataset de fundos da CVM (informes/eventos de fundos estruturados), a implementar. Nenhuma companhia do IPE casou por identificador, razão social, nome ou alias."
Vinci Crédito Agro FIAGRO,fii,fii,2,nao_aplicavel_dataset_ipe,n/a,sem_match,n/a,,,,,0,,0,,,"FII não é coberto pelo dataset IPE de companhias abertas; a cobertura oficial de fundos depende do dataset de fundos da CVM (informes/eventos de fundos estruturados), a implementar. Nenhuma companhia do IPE casou por identificador, razão social, nome ou alias."
Vinci Energia FIP-IE,fii,fii,2,nao_aplicavel_dataset_ipe,n/a,sem_match,n/a,,,,,0,,0,,,"FII não é coberto pelo dataset IPE de companhias abertas; a cobertura oficial de fundos depende do dataset de fundos da CVM (informes/eventos de fundos estruturados), a implementar. Nenhuma companhia do IPE casou por identificador, razão social, nome ou alias."
Vinci Imóveis Urbanos FII,fii,fii,2,nao_aplicavel_dataset_ipe,n/a,sem_match,n/a,,,,,0,,0,,,"FII não é coberto pelo dataset IPE de companhias abertas; a cobertura oficial de fundos depende do dataset de fundos da CVM (informes/eventos de fundos estruturados), a implementar. Nenhuma companhia do IPE casou por identificador, razão social, nome ou alias."
